,opening_gross,screens,production_budget,worldwide_gross,title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score
0,2451.0,10.0,12000000.0,14616.0,2015.0,1.85,111.0,2059.0,12000000.0,7.5
1,8330681.0,2271.0,13000000.0,60414025.0,1999.0,1.85,97.0,37907.0,16000000.0,7.2
2,19883351.0,2704.0,85000000.0,66941559.0,2000.0,1.85,100.0,4182.0,85000000.0,4.8
3,5329240.0,2331.0,20000000.0,17306648.0,2009.0,2.35,108.0,2799.0,22000000.0,5.6
4,923715.0,19.0,20000000.0,181025343.0,2013.0,2.35,134.0,4251.0,20000000.0,8.1
5,264851.0,4.0,18000000.0,60217171.0,2010.0,1.85,94.0,11984.0,18000000.0,7.6
6,21054238.0,3438.0,30000000.0,96439723.0,2004.0,1.85,98.0,6742.0,37000000.0,6.1
7,20617667.0,2678.0,22500000.0,131263370.0,2007.0,2.35,114.0,214.0,25000000.0,6.8
8,10523154.0,2337.0,42000000.0,56331864.0,2001.0,2.35,120.0,33585.0,42000000.0,6.1
9,11855260.0,2706.0,45000000.0,65595141.0,2006.0,2.35,102.0,15053.0,52000000.0,6.6
10,23722310.0,3255.0,40000000.0,139474906.0,2009.0,2.35,102.0,7009.0,20000000.0,6.4
11,27059130.0,3025.0,61000000.0,132493015.0,2013.0,2.35,109.0,20148.0,61000000.0,6.7
12,65237614.0,3404.0,200000000.0,788408539.0,2009.0,2.35,158.0,2144.0,200000000.0,5.8
13,113074.0,4.0,12000000.0,19287485.0,2004.0,2.35,129.0,2378.0,12000000.0,7.5
14,8754168.0,2771.0,13000000.0,42195766.0,2013.0,2.35,93.0,2730.0,13000000.0,5.9
15,274454.0,8.0,20000000.0,59667625.0,2003.0,1.85,124.0,7567.0,20000000.0,7.7
16,36302612.0,3121.0,42000000.0,202812429.0,2012.0,2.35,109.0,19968.0,42000000.0,7.2
17,24105943.0,2648.0,35000000.0,157852532.0,2008.0,2.35,123.0,25661.0,35000000.0,6.8
18,57071445.0,3306.0,50000000.0,331333876.0,2014.0,2.35,112.0,19428.0,50000000.0,7.1
19,27442040.0,3057.0,30000000.0,160247805.0,2008.0,2.35,111.0,2978.0,30000000.0,6.1
20,10310672.0,2523.0,43000000.0,62063972.0,2000.0,1.37,103.0,23864.0,43000000.0,6.0
